p,instanceCount
http://dbpedia.org/property/capacity,34559
http://dbpedia.org/property/communeStatus,33991
http://dbpedia.org/property/parent,33822
http://dbpedia.org/property/reason,33788
http://dbpedia.org/property/allegiance,33462
http://dbpedia.org/property/strength,33309
http://dbpedia.org/ontology/politician,33180
http://dbpedia.org/ontology/keyPerson,33179
http://dbpedia.org/property/role,33164
http://dbpedia.org/property/patternSh,33057
http://dbpedia.org/property/totalLength,33040
http://dbpedia.org/property/father,32988
http://dbpedia.org/ontology/binomialAuthority,32930
http://dbpedia.org/property/patternSo,32784
http://dbpedia.org/property/junction,32779
http://dbpedia.org/property/imageFlag,32777
http://dbpedia.org/property/screenplay,32718
http://dbpedia.org/property/link,32586
http://dbpedia.org/ontology/serviceStartYear,32549
http://dbpedia.org/property/notableWorks,32509
http://dbpedia.org/property/sisterStations,32491
http://dbpedia.org/property/events,32394
http://dbpedia.org/property/photo,32296
http://purl.org/dc/elements/1.1/publisher,32244
http://dbpedia.org/property/imageShield,31980
http://dbpedia.org/property/fields,31917
http://dbpedia.org/property/locationCountry,31878
http://dbpedia.org/property/swing,31808
http://dbpedia.org/ontology/subsequentWork,31766
http://dbpedia.org/property/showMedals,31491
http://dbpedia.org/ontology/district,31425
http://dbpedia.org/ontology/affiliation,31411
http://dbpedia.org/property/bg,31325
http://dbpedia.org/ontology/formerName,31324
http://dbpedia.org/ontology/previousWork,31267
http://dbpedia.org/ontology/relative,31156
http://xmlns.com/foaf/0.1/givenName,31099
http://dbpedia.org/property/lbs,31043
http://dbpedia.org/property/mapSize,30974
http://dbpedia.org/property/in,30868
http://dbpedia.org/ontology/routeJunction,30852
http://dbpedia.org/ontology/race,30785
http://dbpedia.org/property/discipline,30705
http://dbpedia.org/property/combatant,30397
http://dbpedia.org/property/from,30350
http://dbpedia.org/property/otherNames,30345
http://dbpedia.org/property/areaServed,30265
http://dbpedia.org/ontology/servingRailwayLine,30258
http://dbpedia.org/property/pages,30061
http://dbpedia.org/property/otherName,29991
http://dbpedia.org/property/chairman,29957
http://dbpedia.org/property/album,29938
http://dbpedia.org/ontology/productionCompany,29586
http://dbpedia.org/property/attend,29542
http://dbpedia.org/property/previousYear,29471
http://dbpedia.org/property/firstAired,29416
http://dbpedia.org/property/leagueTopscorer,29398
http://dbpedia.org/property/careerStart,29397
http://dbpedia.org/ontology/serviceEndYear,29329
http://dbpedia.org/property/primeminister,29306
http://dbpedia.org/property/nominee,29265
http://dbpedia.org/property/quote,29246
http://dbpedia.org/property/affiliations,29158
http://dbpedia.org/property/f,29125
